"Report Refresh Date";"User Principal Name";"Display Name";"Is Deleted";"Deleted Date";"Last Activity Date";"Send Count";"Receive Count";"Read Count";"Meeting Created Count";"Meeting Interacted Count";"Assigned Products";"Report Period"
"2023-07-29";"3180@anonimo.com";;"False";;"2023-07-26";409;6567;1348;0;115;"VISIO PLAN 2+MICROSOFT POWER AUTOMATE FREE+MICROSOFT 365 E5+DYNAMICS 365 CUSTOMER ENGAGEMENT PLAN+PROJECT PLAN 5";180
"2023-07-29";"5605@anonimo.com";;"False";;"2023-07-27";23;7198;301;1;1;"MICROSOFT POWER AUTOMATE FREE";180
"2023-07-29";"1402@anonimo.com";;"False";;"2023-07-28";339;12263;2639;30;52;"MICROSOFT 365 E3+MICROSOFT POWER AUTOMATE FREE+POWER BI PRO";180
"2023-07-29";"5510@anonimo.com";;"False";;"2023-07-28";9;4103;498;0;7;"MICROSOFT 365 F1";180
"2023-07-29";"1411@anonimo.com";;"False";;"2023-07-28";931;2594;2706;234;130;"MICROSOFT 365 E5+MICROSOFT POWER AUTOMATE FREE+PROJECT PLAN 5";180
"2023-07-29";"4692@anonimo.com";;"False";;"2023-07-26";29;410;171;2;12;"MICROSOFT POWER AUTOMATE FREE+MICROSOFT FABRIC (FREE)+MICROSOFT 365 E3";180
"2023-07-29";"4477@anonimo.com";;"False";;"2023-06-27";142;12338;6508;0;3;"MICROSOFT 365 E5+MICROSOFT POWER AUTOMATE FREE";180
"2023-07-29";"3701@anonimo.com";;"False";;"2023-07-29";973;5584;5466;63;292;"ENTERPRISE MOBILITY + SECURITY E3+MICROSOFT 365 E5+WINDOWS 10/11 ENTERPRISE E5+MICROSOFT POWER AUTOMATE FREE+POWERAPPS AND LOGIC FLOWS+MICROSOFT 365 AUDIO CONFERENCING+RIGHTS MANAGEMENT ADHOC+VISIO PLAN 2+PROJECT PLAN 5";180
"2023-07-29";"5728@anonimo.com";;"False";;"2023-07-28";318;11739;11732;2;22;"MICROSOFT 365 E3+MICROSOFT POWER AUTOMATE FREE+MICROSOFT FABRIC (FREE)+MICROSOFT 365 AUDIO CONFERENCING+OFFICE 365 E5 WITHOUT AUDIO CONFERENCING";180
"2023-07-29";"3850@anonimo.com";;"False";;"2023-07-28";7;66;56;0;1;"MICROSOFT 365 BUSINESS BASIC";180
"2023-07-29";"4588@anonimo.com";;"False";;"2023-07-28";426;1824;1852;125;59;"MICROSOFT 365 E3";180
"2023-07-29";"4803@anonimo.com";;"False";;"2023-07-05";28;155;103;0;7;"MICROSOFT 365 F1";180
"2023-07-29";"5838@anonimo.com";;"False";;"2023-07-28";891;9601;9282;1;2;"MICROSOFT 365 E3+MICROSOFT POWER AUTOMATE FREE";180
"2023-07-29";"5261@anonimo.com";;"False";;"2023-07-28";957;28676;14112;8;50;"OFFICE 365 E5 WITHOUT AUDIO CONFERENCING+MICROSOFT 365 AUDIO CONFERENCING+MICROSOFT POWER AUTOMATE FREE";180
"2023-07-29";"5689@anonimo.com";;"False";;"2023-07-28";480;27384;2567;36;31;"POWER BI PRO+MICROSOFT POWER APPS PLAN 2 TRIAL+MICROSOFT 365 E3";180
"2023-07-29";"5511@anonimo.com";;"False";;"2023-07-29";1470;10408;1495;24;194;"ENTERPRISE MOBILITY + SECURITY E3+MICROSOFT 365 AUDIO CONFERENCING+WINDOWS 10/11 ENTERPRISE E5+MICROSOFT POWER APPS PLAN 2 TRIAL+MICROSOFT FABRIC (FREE)+MICROSOFT 365 E5";180
"2023-07-29";"1018@anonimo.com";;"False";;"2023-07-28";517;124845;3219;21;10;"MICROSOFT 365 E3+POWER BI PRO";180
"2023-07-29";"4204@anonimo.com";;"False";;"2023-07-29";119;1032;1081;11;33;"OFFICE 365 E5 WITHOUT AUDIO CONFERENCING+MICROSOFT 365 AUDIO CONFERENCING+MICROSOFT POWER AUTOMATE FREE";180
"2023-07-29";"4411@anonimo.com";;"False";;"2023-07-29";204;5766;5444;8;75;"OFFICE 365 E5 WITHOUT AUDIO CONFERENCING";180
"2023-07-29";"5293@anonimo.com";;"False";;"2023-07-28";337;3340;2509;0;83;"ENTERPRISE MOBILITY + SECURITY E3+OFFICE 365 E5 WITHOUT AUDIO CONFERENCING+MICROSOFT POWER AUTOMATE FREE+MICROSOFT 365 AUDIO CONFERENCING";180
"2023-07-29";"4362@anonimo.com";;"False";;"2023-07-19";0;46;5;0;0;"MICROSOFT 365 BUSINESS BASIC";180
"2023-07-29";"979@anonimo.com";;"False";;"2023-07-28";289;3383;3281;1;136;"MICROSOFT STREAM TRIAL+MICROSOFT POWER AUTOMATE FREE+MICROSOFT 365 E3+POWER BI PRO";180
"2023-07-29";"4425@anonimo.com";;"False";;"2023-07-28";294;95918;1459;13;21;"MICROSOFT POWER AUTOMATE FREE+MICROSOFT 365 E3+POWER BI PRO";180
"2023-07-29";"4283@anonimo.com";;"False";;"2023-07-28";891;4117;3001;62;174;"MICROSOFT POWER AUTOMATE FREE+MICROSOFT POWER APPS PLAN 2 TRIAL+MICROSOFT 365 E5+WINDOWS 10/11 ENTERPRISE E5+MICROSOFT 365 AUDIO CONFERENCING+POWER VIRTUAL AGENTS VIRAL TRIAL+DYNAMICS 365 CUSTOMER INSIGHTS SELF-SERVICE TRIAL+DYNAMICS 365 CUSTOMER INSIGHTS VTRIAL+MICROSOFT FABRIC (FREE)";180
"2023-07-29";"4150@anonimo.com";;"False";;"2023-07-28";962;13432;4607;196;195;"MICROSOFT 365 AUDIO CONFERENCING+MICROSOFT POWER AUTOMATE FREE+WINDOWS 10/11 ENTERPRISE E5+OFFICE 365 E5 WITHOUT AUDIO CONFERENCING";180
"2023-07-29";"4520@anonimo.com";;"False";;"2023-07-29";3143;11506;11534;49;595;"MICROSOFT 365 E5+MICROSOFT POWER AUTOMATE FREE";180
"2023-07-29";"5138@anonimo.com";;"False";;"2023-05-22";3;23;0;0;0;"MICROSOFT FABRIC (FREE)+MICROSOFT POWER AUTOMATE FREE+MICROSOFT 365 E3";180
"2023-07-29";"4130@anonimo.com";;"False";;"2023-01-29";0;14;0;0;0;"MICROSOFT 365 E3";180
"2023-07-29";"3274@anonimo.com";;"False";;"2023-07-29";549;1718;1958;33;63;"MICROSOFT POWER AUTOMATE FREE+OFFICE 365 E5 WITHOUT AUDIO CONFERENCING+MICROSOFT 365 AUDIO CONFERENCING";180
"2023-07-29";"4645@anonimo.com";;"False";;"2023-07-29";299;26982;968;1;54;"MICROSOFT FABRIC (FREE)+MICROSOFT POWER AUTOMATE FREE+MICROSOFT 365 E3";180
"2023-07-29";"5046@anonimo.com";;"False";;"2023-07-29";927;4942;4865;99;419;"OFFICE 365 E5 WITHOUT AUDIO CONFERENCING+MICROSOFT FABRIC (FREE)+MICROSOFT POWER AUTOMATE FREE+POWER VIRTUAL AGENTS VIRAL TRIAL";180
"2023-07-29";"5402@anonimo.com";;"False";;"2023-07-28";130;2359;709;10;56;"MICROSOFT POWER AUTOMATE FREE+POWERAPPS AND LOGIC FLOWS+OFFICE 365 E5 WITHOUT AUDIO CONFERENCING+MICROSOFT POWER APPS PLAN 2 TRIAL";180
"2023-07-29";"4809@anonimo.com";;"False";;"2023-07-21";477;6442;5547;43;122;"ENTERPRISE MOBILITY + SECURITY E3+MICROSOFT POWER AUTOMATE FREE+MICROSOFT 365 E5+MICROSOFT POWER APPS PLAN 2 TRIAL+VISIO PLAN 2+RIGHTS MANAGEMENT ADHOC+MICROSOFT 365 AUDIO CONFERENCING+WINDOWS 10/11 ENTERPRISE E5+PROJECT PLAN 3";180
"2023-07-29";"3337@anonimo.com";;"False";;"2023-07-28";737;6604;3221;68;57;"MICROSOFT 365 AUDIO CONFERENCING+OFFICE 365 E5 WITHOUT AUDIO CONFERENCING+PROJECT PLAN 5+MICROSOFT POWER AUTOMATE FREE+MICROSOFT POWER APPS PLAN 2 TRIAL";180
"2023-07-29";"4025@anonimo.com";;"False";;"2023-07-28";638;4978;3104;62;270;"MICROSOFT POWER AUTOMATE FREE+WINDOWS 10/11 ENTERPRISE E5+MICROSOFT 365 E5";180
"2023-07-29";"3220@anonimo.com";;"False";;"2022-11-22";0;5;0;0;0;"MICROSOFT 365 E3";180
"2023-07-29";"3189@anonimo.com";;"False";;"2023-07-29";2128;43516;11847;196;614;"MICROSOFT 365 E5+MICROSOFT 365 AUDIO CONFERENCING";180
"2023-07-29";"4613@anonimo.com";;"False";;"2023-07-28";277;1573;1703;26;110;"OFFICE 365 E5 WITHOUT AUDIO CONFERENCING+MICROSOFT POWER AUTOMATE FREE";180
"2023-07-29";"5552@anonimo.com";;"False";;"2023-04-10";11;20;5;0;0;"MICROSOFT 365 E3+MICROSOFT POWER AUTOMATE FREE";180
"2023-07-29";"1511@anonimo.com";;"False";;"2023-07-29";1098;14966;7123;25;314;"POWERAPPS AND LOGIC FLOWS+MICROSOFT POWER APPS PLAN 2 TRIAL+ENTERPRISE MOBILITY + SECURITY E3+PROJECT PLAN 5+WINDOWS 10/11 ENTERPRISE E5+MICROSOFT 365 E5+MICROSOFT 365 AUDIO CONFERENCING+MICROSOFT FABRIC (FREE)";180
"2023-07-29";"4450@anonimo.com";;"False";;"2023-07-28";650;113993;89019;60;198;"MICROSOFT 365 E5+VISIO PLAN 2";180
"2023-07-29";"5302@anonimo.com";;"False";;"2023-07-28";2461;34610;22476;64;218;"WINDOWS 10/11 ENTERPRISE E5+MICROSOFT 365 AUDIO CONFERENCING+MICROSOFT 365 E5+ENTERPRISE MOBILITY + SECURITY E3+MICROSOFT POWER AUTOMATE FREE";180
"2023-07-29";"4186@anonimo.com";;"False";;"2023-07-28";1;60;66;0;0;"MICROSOFT 365 E3+MICROSOFT POWER AUTOMATE FREE";180
"2023-07-29";"5148@anonimo.com";;"False";;"2023-07-28";948;9432;9228;81;209;"MICROSOFT POWER AUTOMATE FREE+MICROSOFT 365 E5";180
"2023-07-29";"5845@anonimo.com";;"False";;"2023-07-26";139;938;419;7;92;"MICROSOFT 365 E3+MICROSOFT POWER AUTOMATE FREE+MICROSOFT FABRIC (FREE)";180
"2023-07-29";"2764@anonimo.com";;"False";;"2023-07-28";819;1336;1490;0;0;"MICROSOFT 365 E3";180
"2023-07-29";"1025@anonimo.com";;"False";;;0;8;0;0;0;"MICROSOFT STREAM TRIAL+MICROSOFT 365 F1";180
"2023-07-29";"3330@anonimo.com";;"False";;"2023-07-28";523;26299;25383;59;138;"MICROSOFT 365 E3+MICROSOFT POWER AUTOMATE FREE";180
"2023-07-29";"5682@anonimo.com";;"False";;"2023-07-28";1468;13445;3821;1;2;"MICROSOFT 365 E5";180
"2023-07-29";"3781@anonimo.com";;"False";;"2023-07-27";27;714;161;7;5;"OFFICE 365 E5 WITHOUT AUDIO CONFERENCING+MICROSOFT POWER AUTOMATE FREE+MICROSOFT POWER APPS FOR DEVELOPER+MICROSOFT FABRIC (FREE)";180
"2023-07-29";"5431@anonimo.com";;"False";;"2023-07-28";2104;7322;7504;1;3;"MICROSOFT 365 E3+MICROSOFT POWER AUTOMATE FREE+MICROSOFT FABRIC (FREE)";180
"2023-07-29";"5580@anonimo.com";;"False";;"2023-07-29";1094;19857;2586;151;173;"MICROSOFT POWER AUTOMATE FREE+ENTERPRISE MOBILITY + SECURITY E3+MICROSOFT 365 E3+POWER BI PRO";180
"2023-07-29";"5149@anonimo.com";;"False";;"2023-07-28";287;2739;1236;0;0;"MICROSOFT 365 F1";180
"2023-07-29";"5782@anonimo.com";;"False";;"2023-07-28";101;6326;424;5;81;"MICROSOFT 365 E3+MICROSOFT POWER AUTOMATE FREE+MICROSOFT FABRIC (FREE)";180
"2023-07-29";"4490@anonimo.com";;"False";;"2023-07-28";23;53;35;0;4;"MICROSOFT POWER AUTOMATE FREE+MICROSOFT FABRIC (FREE)+MICROSOFT 365 F1";180
"2023-07-29";"2085@anonimo.com";;"False";;"2023-07-27";202;14460;4788;0;16;"ENTERPRISE MOBILITY + SECURITY E3+MICROSOFT 365 E5+WINDOWS 10/11 ENTERPRISE E5+MICROSOFT 365 AUDIO CONFERENCING+MICROSOFT POWER AUTOMATE FREE";180
"2023-07-29";"3868@anonimo.com";;"False";;"2023-07-28";20;3854;1001;0;0;"MICROSOFT 365 E3";180
"2023-07-29";"1357@anonimo.com";;"False";;"2023-06-13";3;135;0;0;0;"MICROSOFT POWER AUTOMATE FREE+MICROSOFT 365 F1";180
"2023-07-29";"1484@anonimo.com";;"False";;"2023-07-03";31;48549;183;0;0;"MICROSOFT 365 E3+MICROSOFT POWER AUTOMATE FREE";180
"2023-07-29";"3242@anonimo.com";;"False";;"2023-07-28";9;348;81;0;1;"MICROSOFT 365 F1";180
"2023-07-29";"3923@anonimo.com";;"False";;"2023-07-28";802;11881;11984;9;114;"OFFICE 365 E5 WITHOUT AUDIO CONFERENCING+MICROSOFT 365 AUDIO CONFERENCING+MICROSOFT POWER AUTOMATE FREE";180
"2023-07-29";"4099@anonimo.com";;"False";;"2023-07-28";46;150;169;0;2;"MICROSOFT 365 BUSINESS PREMIUM+MICROSOFT POWER AUTOMATE FREE";180
"2023-07-29";"4617@anonimo.com";;"False";;"2023-07-28";814;10804;12002;2;38;"MICROSOFT 365 E3+MICROSOFT POWER AUTOMATE FREE";180
"2023-07-29";"992@anonimo.com";;"False";;"2023-07-28";100;5245;888;4;3;"MICROSOFT FABRIC (FREE)+MICROSOFT POWER AUTOMATE FREE+MICROSOFT 365 E3+MICROSOFT STREAM TRIAL";180
"2023-07-29";"1037@anonimo.com";;"False";;"2023-07-28";253;49205;1260;6;21;"POWER BI PRO+MICROSOFT 365 E3+MICROSOFT POWER AUTOMATE FREE";180
"2023-07-29";"5861@anonimo.com";;"False";;"2023-07-28";178;3099;1059;27;18;"MICROSOFT POWER AUTOMATE FREE+MICROSOFT 365 E3+MICROSOFT FABRIC (FREE)";180
"2023-07-29";"4407@anonimo.com";;"False";;"2023-07-29";449;4444;3431;15;47;"MICROSOFT 365 E3+DYNAMICS 365 CUSTOMER ENGAGEMENT PLAN+MICROSOFT POWER AUTOMATE FREE";180
"2023-07-29";"4996@anonimo.com";;"False";;"2023-07-04";3;29;6;0;0;;180
"2023-07-29";"4227@anonimo.com";;"False";;"2023-07-28";34;2075;142;0;1;"MICROSOFT 365 E3+MICROSOFT POWER AUTOMATE FREE+MICROSOFT FABRIC (FREE)";180
"2023-07-29";"1029@anonimo.com";;"False";;"2023-07-28";174;29622;371;60;11;"MICROSOFT POWER AUTOMATE FREE+POWER BI PRO+MICROSOFT 365 E3";180
"2023-07-29";"808@anonimo.com";;"False";;"2023-07-29";1651;5060;3921;31;305;"ENTERPRISE MOBILITY + SECURITY E3+WINDOWS 10/11 ENTERPRISE E5+MICROSOFT 365 AUDIO CONFERENCING+MICROSOFT 365 E3+VISIO PLAN 2+POWER BI PRO";180
"2023-07-29";"5393@anonimo.com";;"False";;"2023-07-28";4;44;42;1;3;"MICROSOFT 365 AUDIO CONFERENCING+MICROSOFT POWER AUTOMATE FREE+OFFICE 365 E5 WITHOUT AUDIO CONFERENCING";180
"2023-07-29";"1428@anonimo.com";;"False";;"2023-07-28";277;6364;1834;17;145;"MICROSOFT 365 E5+MICROSOFT POWER AUTOMATE FREE";180
"2023-07-29";"4677@anonimo.com";;"False";;"2023-07-27";1;12;10;0;1;"MICROSOFT 365 F1";180
"2023-07-29";"4309@anonimo.com";;"False";;"2023-05-30";0;2890;1;0;0;"MICROSOFT 365 E3";180
"2023-07-29";"5565@anonimo.com";;"False";;"2023-07-28";110;1178;154;4;8;"OFFICE 365 E5 WITHOUT AUDIO CONFERENCING+MICROSOFT POWER AUTOMATE FREE";180
"2023-07-29";"5473@anonimo.com";;"False";;"2023-07-29";1266;18054;9502;14;126;"MICROSOFT 365 E5+ENTERPRISE MOBILITY + SECURITY E3+WINDOWS 10/11 ENTERPRISE E5+MICROSOFT 365 AUDIO CONFERENCING+MICROSOFT POWER AUTOMATE FREE";180
"2023-07-29";"4832@anonimo.com";;"False";;"2023-07-28";179;1016;1096;3;21;"MICROSOFT POWER AUTOMATE FREE+POWER BI PRO+MICROSOFT 365 BUSINESS PREMIUM";180
"2023-07-29";"5849@anonimo.com";;"False";;"2023-07-29";451;4040;2418;3;46;"MICROSOFT 365 E3+VISIO PLAN 2";180
"2023-07-29";"1478@anonimo.com";;"False";;"2023-07-28";92;1255;469;67;10;"MICROSOFT 365 BUSINESS PREMIUM+MICROSOFT POWER AUTOMATE FREE+POWER BI PRO";180
"2023-07-29";"5882@anonimo.com";;"False";;"2023-07-28";12;1960;238;3;2;"OFFICE 365 E5 WITHOUT AUDIO CONFERENCING+MICROSOFT POWER AUTOMATE FREE";180
"2023-07-29";"5057@anonimo.com";;"False";;"2023-07-28";2668;43057;21038;0;20;"MICROSOFT POWER AUTOMATE FREE+MICROSOFT 365 E3";180
"2023-07-29";"5265@anonimo.com";;"False";;"2023-07-27";348;1079;1029;17;94;"MICROSOFT POWER AUTOMATE FREE+MICROSOFT 365 E3+MICROSOFT FABRIC (FREE)";180
"2023-07-29";"3731@anonimo.com";;"False";;"2023-07-29";925;9191;9272;97;218;"OFFICE 365 E5 WITHOUT AUDIO CONFERENCING+MICROSOFT STREAM TRIAL+MICROSOFT 365 AUDIO CONFERENCING+WINDOWS 10/11 ENTERPRISE E5+MICROSOFT FABRIC (FREE)+MICROSOFT POWER AUTOMATE FREE";180
"2023-07-29";"1147@anonimo.com";;"False";;"2023-04-11";0;1;3;0;0;"MICROSOFT 365 E3";180
"2023-07-29";"1252@anonimo.com";;"False";;"2023-07-28";84;13767;259;0;0;"MICROSOFT POWER AUTOMATE FREE+MICROSOFT 365 E5";180
"2023-07-29";"4796@anonimo.com";;"False";;"2023-07-28";195;2396;1825;9;51;"MICROSOFT POWER AUTOMATE FREE+MICROSOFT FABRIC (FREE)+MICROSOFT 365 F1";180
"2023-07-29";"3724@anonimo.com";;"False";;"2023-07-29";986;12429;5636;154;269;"DYNAMICS 365 CUSTOMER ENGAGEMENT PLAN+ENTERPRISE MOBILITY + SECURITY E3+WINDOWS 10/11 ENTERPRISE E5+MICROSOFT 365 E5+MICROSOFT FABRIC (FREE)+MICROSOFT 365 AUDIO CONFERENCING";180
"2023-07-29";"3499@anonimo.com";;"False";;"2023-03-10";5;77;12;0;2;"MICROSOFT 365 BUSINESS PREMIUM+MICROSOFT FABRIC (FREE)+MICROSOFT POWER AUTOMATE FREE";180
"2023-07-29";"4443@anonimo.com";;"False";;"2023-07-28";1342;14915;6732;128;358;"ENTERPRISE MOBILITY + SECURITY E3+MICROSOFT POWER AUTOMATE FREE+WINDOWS 10/11 ENTERPRISE E5+MICROSOFT 365 E5+MICROSOFT 365 AUDIO CONFERENCING";180
"2023-07-29";"4877@anonimo.com";;"False";;"2023-07-29";1331;7679;6535;113;162;"MICROSOFT POWER AUTOMATE FREE+WINDOWS 10/11 ENTERPRISE E5+MICROSOFT 365 AUDIO CONFERENCING+OFFICE 365 E5 WITHOUT AUDIO CONFERENCING";180
"2023-07-29";"3216@anonimo.com";;"False";;"2023-07-28";172;561;456;3;153;"MICROSOFT 365 E3+MICROSOFT POWER AUTOMATE FREE+MICROSOFT FABRIC (FREE)";180
"2023-07-29";"4039@anonimo.com";;"False";;"2023-07-28";1;54;37;0;0;"MICROSOFT POWER AUTOMATE FREE+MICROSOFT 365 F1";180
"2023-07-29";"3436@anonimo.com";;"False";;"2023-07-28";32;183;206;0;2;"MICROSOFT 365 E3+MICROSOFT POWER AUTOMATE FREE";180
"2023-07-29";"4592@anonimo.com";;"False";;"2023-07-27";55;26480;327;0;2;"MICROSOFT POWER AUTOMATE FREE+MICROSOFT 365 F1+POWER BI PRO";180
"2023-07-29";"4366@anonimo.com";;"False";;"2023-05-30";0;35;13;0;0;;180
"2023-07-29";"1419@anonimo.com";;"False";;"2023-07-28";31;838;295;5;3;"MICROSOFT 365 E3+MICROSOFT FABRIC (FREE)+MICROSOFT POWER AUTOMATE FREE";180
"2023-07-29";"4287@anonimo.com";;"False";;"2023-07-28";222;1583;1215;46;3;"MICROSOFT 365 E3";180
"2023-07-29";"4998@anonimo.com";;"False";;"2023-07-27";3;300;8;0;0;"MICROSOFT 365 E5+MICROSOFT POWER AUTOMATE FREE";180
"2023-07-29";"4430@anonimo.com";;"False";;"2023-07-28";92;10069;602;0;4;"MICROSOFT 365 E3+MICROSOFT POWER AUTOMATE FREE";180
"2023-07-29";"4591@anonimo.com";;"False";;"2023-07-28";564;6032;1729;123;184;"MICROSOFT 365 E3+MICROSOFT POWER AUTOMATE FREE+MICROSOFT FABRIC (FREE)";180
"2023-07-29";"4626@anonimo.com";;"False";;"2023-07-28";1139;12647;12198;43;168;"MICROSOFT 365 E5+MICROSOFT 365 AUDIO CONFERENCING+WINDOWS 10/11 ENTERPRISE E5+MICROSOFT POWER AUTOMATE FREE";180
"2023-07-29";"1128@anonimo.com";;"False";;;0;14;0;0;0;"MICROSOFT POWER AUTOMATE FREE+MICROSOFT 365 F1";180
"2023-07-29";"3945@anonimo.com";;"False";;"2023-07-29";103;1219;739;8;64;"MICROSOFT 365 E3+MICROSOFT POWER AUTOMATE FREE";180
"2023-07-29";"4710@anonimo.com";;"False";;"2023-07-27";81;5580;2058;0;6;"MICROSOFT 365 BUSINESS PREMIUM+MICROSOFT POWER AUTOMATE FREE";180
"2023-07-29";"794@anonimo.com";;"False";;"2023-07-28";242;4081;1491;19;97;"MICROSOFT 365 E5+VISIO PLAN 2+WINDOWS 10/11 ENTERPRISE E5+MICROSOFT POWER AUTOMATE FREE+MICROSOFT 365 AUDIO CONFERENCING";180
"2023-07-29";"4618@anonimo.com";;"False";;"2023-07-28";3550;52521;17797;0;30;"OFFICE 365 E5 WITHOUT AUDIO CONFERENCING+MICROSOFT 365 AUDIO CONFERENCING+MICROSOFT POWER AUTOMATE FREE";180
"2023-07-29";"4033@anonimo.com";;"False";;"2023-07-28";1;4220;55;0;0;"MICROSOFT 365 E3+MICROSOFT FABRIC (FREE)+MICROSOFT POWER AUTOMATE FREE";180
"2023-07-29";"3972@anonimo.com";;"False";;"2023-07-28";1542;16023;15690;177;142;"MICROSOFT 365 AUDIO CONFERENCING+ENTERPRISE MOBILITY + SECURITY E3+WINDOWS 10/11 ENTERPRISE E5+MICROSOFT 365 E3+MICROSOFT 365 BUSINESS VOICE (WITHOUT CALLING PLAN)+MICROSOFT POWER AUTOMATE FREE+POWER BI PRO";180
"2023-07-29";"4931@anonimo.com";;"False";;"2023-07-29";691;3610;2792;105;98;"MICROSOFT 365 E3+MICROSOFT POWER AUTOMATE FREE+MICROSOFT FABRIC (FREE)+POWER BI PRO";180
"2023-07-29";"4156@anonimo.com";;"False";;"2021-05-06";0;27;0;0;0;"MICROSOFT 365 E3+MICROSOFT FABRIC (FREE)";180
"2023-07-29";"5285@anonimo.com";;"False";;"2023-07-29";768;2512;2949;108;249;"MICROSOFT 365 E3+MICROSOFT FABRIC (FREE)+MICROSOFT POWER AUTOMATE FREE+POWER BI PRO";180
"2023-07-29";"4864@anonimo.com";;"False";;"2023-07-28";248;6267;1524;13;118;"MICROSOFT POWER AUTOMATE FREE+MICROSOFT 365 E3+MICROSOFT FABRIC (FREE)";180
"2023-07-29";"1410@anonimo.com";;"False";;"2023-07-28";88;15282;5542;8;5;"MICROSOFT POWER AUTOMATE FREE+MICROSOFT 365 E5";180
"2023-07-29";"5428@anonimo.com";;"False";;"2023-07-21";14;228;84;0;6;"MICROSOFT 365 F1";180
"2023-07-29";"1098@anonimo.com";;"False";;"2023-01-16";0;9;0;0;0;"MICROSOFT STREAM TRIAL+MICROSOFT POWER AUTOMATE FREE+MICROSOFT 365 F1";180
"2023-07-29";"1339@anonimo.com";;"False";;"2023-07-28";104;12534;868;24;6;"MICROSOFT 365 E3+POWER BI PRO+MICROSOFT POWER AUTOMATE FREE";180
